Name,Street,City,State,Zip,Phone,Website,Type,Awards,Campus_Setting,Campus_Housing,Student_Population,Student_to_Faculty_ratio
Alabama A & M University,Meridian Street,Normal,Alabama,35762,(256) 372-5000,,"4-year, Public",Bachelor's degree,City: Midsize,Yes,"5,977 (5,093 undergraduate)",18 to 1
Bowie State University,Jericho Park Rd,Bowie,Maryland,20715-9465,(301) 860-4000,,"4-year, Public",Bachelor's degree,Suburb: Large,Yes,"6,250 (5,354 undergraduate)",16 to 1
Cheyney University of Pennsylvania,University Circle,Cheyney,Pennsylvania,19319-0200,(610) 399-2275,,"4-year, Public",Bachelor's degree,Suburb: Large,Yes,623 (all undergraduate),15 to 1
Bethune-Cookman University,Dr Mary McLeod Bethune Blvd,Daytona Beach,Florida,32114-3099,(386) 481-2000,,"4-year, Private not-for-profit",Bachelor's degree,City: Small,Yes,"2,845 (2,746 undergraduate)",15 to 1
Bennett College,E Washington St,Greensboro,Carolina,27401-3239,(336) 517-2100,,"4-year, Private not-for-profit",Bachelor's degree,City: Large,Yes,232 (all undergraduate),7 to 1
Bluefield State College,Rock Street,Bluefield,Virginia,24701-2198,(304) 327-4000,,"4-year, Public",Less than one year certificate,Town: Distant,No,"1,243 (all undergraduate)",14 to 1
Bishop State Community College,North Broad Street,Mobile,Alabama,36603-5898,(251) 405-7000,,"2-year, Public",Less than one year certificate,City: Midsize,No,"2,176 (all undergraduate)",14 to 1
Central State University,Brush Row Rd,Wilberforce,Ohio,45384-1004,(937) 376-6011,,"4-year, Public",Bachelor's degree,Rural: Fringe,Yes,"4,021 (all undergraduate)",19 to 1
Lane College,Lane Ave,Jackson,Tennessee,38301-4598,(731) 426-7500,,"4-year, Private not-for-profit",Associate's degree,City: Small,Yes,"1,095 (all undergraduate)",17 to 1
Langston University,Page Hall,Langston,Oklahoma,73050,(405) 466-3428,,"4-year, Public",Associate's degree,Rural: Distant,Yes,"2,038 (1,894 undergraduate)",14 to 1
Kentucky State University,East Main Street,Frankfort,Kentucky,40601-2355,(502) 597-6000,,"4-year, Public",Less than one year certificate,Town: Distant,Yes,"2,290 (2,148 undergraduate)",14 to 1
Johnson C Smith University,Beatties Ford Road,Charlotte,Carolina,28216-5398,(704) 378-1000,,"4-year, Private not-for-profit",Bachelor's degree,City: Large,Yes,"1,306 (1,253 undergraduate)",13 to 1
Fort Valley State University,State University Dr,Fort Valley,Georgia,31030-4313,(478) 825-6211,,"4-year, Public",Bachelor's degree,Town: Fringe,Yes,"3,079 (2,794 undergraduate)",24 to 1
J. F. Drake State Community and Technical College,Meridian St N,Huntsville,Alabama,35811,(256) 539-8161,,"2-year, Public",Less than one year certificate,City: Midsize,No,825 (all undergraduate),13 to 1
